catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
SFW40532,Smithsonian Folkways Recordings,2006,Bandera Mía: Songs of Argentina,Suni Paz,"Argentina; Chile; United States",Argentinian-American,"Latin; World",,Spanish,,http://www.folkways.si.edu/suni-paz/bandera-mia-songs-of-argentina/latin-world/music/album/smithsonian,Argentina,-66.9256594974103,-41.9459791902909
SFW40561,Smithsonian Folkways Recordings,2012,Button Accordion and Bandoneón Music from Northern Uruguay,Los Gauchos de Roldán,Uruguay,,"Latin; World",,,,http://www.folkways.si.edu/los-gauchos-de-roldan/button-accordion-and-bandoneon-music-from-northern-uruguay/latin-world/music/album/smithsonian,Uruguay,-56.1570880809154,-31.3047338853565
SFW45055,Smithsonian Folkways Recordings,2000,Alerta Sings and Songs for the Playground/ Canciones Para el Recreo,Suni Paz,"Argentina; United States",Hispanic,"Children's; Latin; World",Guitar,English,Music--Juvenile,http://www.folkways.si.edu/suni-paz/alerta-sings-and-songs-for-the-playground/canciones-para-el-recreo/childrens-latin-world/music/album/smithsonian,Argentina,-69.5417334073796,-49.5552524868845
COOK01042,Cook Records,1955,Brute Force Steel Bands of Antigua,Various Artists,Antigua and Barbuda,,"Caribbean; World","Drum, steel; Steel drum (Musical instrument)",,"Calypso; Christmas music; Fiddle tunes; Mambo (Dance); Merengue (Dance); Steel bands (Music)",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Antigua & Barbuda,-61.8847746269948,17.1000439506188
COOK01048,Cook Records,1957,Music to Awaken the Ballroom Beast/Brute Force Steel Band,The Brute Force Steel Band,Antigua and Barbuda,African Caribbean,"Caribbean; World","Drum, steel; Steel drum (Musical instrument)",,"Calypso; Merengue (Dance); Steel bands (Music)",http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,Antigua & Barbuda,-61.8458036347116,17.6359247016203
COOK01127,Cook Records,1962,Folk and Other Songs,Steve Camacho,"Mexico; United States",,American Folk,"Guitar; Vocals",,"Folk songs--United States; Folksong revival",http://www.folkways.si.edu/steve-camacho/folk-and-other-songs/american-folk/music/album/smithsonian,Mexico,-106.068961892749,23.4042444903619
COOK01140,Cook Records,1958,Steelband Promenade,Various Artists,"Antigua and Barbuda; Trinidad and Tobago",African Caribbean,"Caribbean; World","Drum, steel; Steel drum (Musical instrument)",,Steel bands (Music),http://www.folkways.si.edu/steelband-promenade/caribbean-world/music/album/smithsonian,Antigua & Barbuda,-61.7374996212136,17.0592217897861
COOK01180,Cook Records,1956,Dance Calypso,Various Artists,"Antigua and Barbuda; Trinidad and Tobago",African Caribbean,"Caribbean; World",Vocals,,Calypso,http://www.folkways.si.edu/dance-calypso/caribbean-world/music/album/smithsonian,Antigua & Barbuda,-61.7450379081546,17.6415804781954
COOK01189,Cook Records,1961,Calypso Exposed,Various Artists,"Antigua and Barbuda; Trinidad and Tobago",African Caribbean,"Caribbean; World",Vocals,,"Calypso; Steel bands (Music)",http://www.folkways.si.edu/calypso-exposed/caribbean-world/music/album/smithsonian,Antigua & Barbuda,-61.7569138133236,17.1196122356886
COOK05014,Cook Records,1954,Mariachi Music of Mexico,Various Artists,Mexico,,"Latin; World",,,Mariachi,http://www.folkways.si.edu/mariachi-music-of-mexico/latin-world/music/album/smithsonian,Mexico,-102.716634499273,26.0912221016099
COOK05015,Cook Records,1951,Mexican Firecrackers,Various Artists,Mexico,,"Latin; World",,,,http://www.folkways.si.edu/mexican-firecrackers/latin-world/music/album/smithsonian,Mexico,-98.0112996074155,16.2596387499474
COOK05019,Cook Records,1956,Blind Troubador of Oaxaca,Alonzo Cruz,Mexico,,"Latin; World","Guitar; Vocals",Spanish,,http://www.folkways.si.edu/alonzo-cruz/blind-troubador-of-oaxaca/latin-world/music/album/smithsonian,Mexico,-102.884332018159,26.6019331378096
COOK10248,Cook Records,,The Voice of Mexico,Various Artists,Mexico,,"Latin; World",Guitar,Spanish,Music,http://www.folkways.si.edu/the-voice-of-mexico/latin-world/music/album/smithsonian,Mexico,-103.762419634752,26.534906238575
FW04351,Folkways Records,1973,"Music of Sulawesi: Celebes, Indonesia",Various Artists,Indonesia,,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-sulawesi-celebes-indonesia/islamica-world/album/smithsonian,Indonesia,136.618176427215,-3.80592034225851
FW02405,Folkways Records,1962,World Tour with Folk Songs,Stephen Addiss and Bill Crofut,"Germany; India; Indonesia; Japan; Myanmar; United States",Anglo-American,American Folk,"Angklung; Banjo; Gamelan; Guitar; Xylophone",,"Ballads; Blues; Contemporary music; Country music; Folksong revival; Hunting; Hymns; Instrumental music; Jazz; Love songs; Marriage; Minstrel shows; Nationalism; Old-time music; Opera; Railroads; Regional; Religious; Spirituals (Songs); Topical songs; Wit and humor",http://www.folkways.si.edu/stephen-addiss-and-bill-crofut/world-tour-with-folk-songs/american-folk/music/album/smithsonian,Germany,9.23037724311791,50.8419256065302
FW03071,Folkways Records,1960,"Early German Ballads, Vol. 1: 1280-1619",Wolfgang Roth,Germany,,World,"Lute; Vocals",German,"Courtship; Laments; Love songs; Lullabies; Military music; Opera; Political ballads and songs; Protest songs; Wit and humor; World music",http://www.folkways.si.edu/wolfgang-roth/early-german-ballads-vol-1-1280-1619/world/music/album/smithsonian,Germany,11.6237848489961,52.6708394666742
SFW40095,Smithsonian Folkways Recordings,1997,Kindness,Toshi Reagon,United States,African American,"African American Music; American Folk","Guitar; Vocals",English,"Rock music; Singer-Songwriters",http://www.folkways.si.edu/toshi-reagon/kindness/african-american-music-folk/album/smithsonian,United States,-108.155876397537,39.2908320557309
FW03072,Folkways Records,1963,"Early German Ballads, Vol. 2: 1536-1800",Wolfgang Roth,Germany,,World,"Lute; Vocals",German,"Animals; Ballads; Courtship; Drinking songs; Folksong revival; Love songs; Marriage; Military music; Nonsense literature; Opera; Religious; Tragic songs; Weddings; Wit and humor; Work songs; Working class--Songs and music; World music",http://www.folkways.si.edu/wolfgang-roth/early-german-ballads-vol-2-1536-1800/world/music/album/smithsonian,Germany,11.5396507627612,53.7267028471892
FW03320,Folkways Records,1962,Music for the Harpsichord and Virginal,Stewart Robb,"Germany; Italy; United Kingdom; United States",Anglo-American,Classical,Harpsichord,,"Instrumental music; Music--15th century; Music--17th century",http://www.folkways.si.edu/stewart-robb/music-for-the-harpsichord-and-virginal/classical/album/smithsonian,Germany,10.1223965838578,51.0145757714408
FW03360,Folkways Records,1978,Piano Music of the Middle East,Amiram Rigai,"Cyprus; Greece; Iran; Israel; Lebanon; Turkey; United States",,"Classical; Islamica",Piano,,"Contemporary music; Instrumental music",http://www.folkways.si.edu/amiram-rigai/piano-music-of-the-middle-east/classical-islamica/album/smithsonian,Cyprus,32.7525340815155,34.9300149343657
FW03558,Folkways Records,1961,"Songs from ""The Wall"": The Play about the Warsaw Ghetto Uprising: Ghetto, Partisan, Folk and Love Songs",Various Artists,"Poland; United States",Jewish,"Drama; Judaica",,Yiddish,"Complaint; Fellowship; Games; Grief; Jewish; Laments; Love songs; Marriage; Military music; Music--Juvenile; Nostalgia; Opera; Resistance; Weddings",http://www.folkways.si.edu/songs-from-the-wall-the-play-about-the-warsaw-ghetto-uprising-ghetto-partisan-folk-and-love-songs/drama-judaica/album/smithsonian,Poland,18.8431234015948,53.0774096563421
SFW40545,Smithsonian Folkways Recordings,2008,The Sligo Indians,Tony DeMarco,,,"Celtic; World",Fiddle,,,http://www.folkways.si.edu/tony-demarco/the-sligo-indians/celtic-world/music/album/smithsonian,,,
FW03863,Folkways Records,1956,Radio Programme III: Courlander's Almanac: Familiar Music in Strange Places,Various Artists,"Indonesia; Portugal",,"Humor; Soundtracks &amp; Musicals",,,"Narratives; Radio programs",http://www.folkways.si.edu/radio-programme-iii-courlanders-almanac-familiar-music-in-strange-places/humor-soundtracks-musicals/album/smithsonian,Indonesia,111.472111439941,-2.85960363980116
FW04000,Folkways Records,1950,Folk Music of Hungary,Various Artists,Hungary,,World,,,World music,http://www.folkways.si.edu/folk-music-of-hungary/world/music/album/smithsonian,Hungary,20.311907942602,47.2491729260275
FW04001,Folkways Records,1956,Wolf River Songs,Various Artists,"Germany; United States",Anglo-American,American Folk,,,"Ballads; Courtship; Crime; Disasters; Drinking songs; Folk songs--United States; Gospel music; Logging--Songs and music.; Love songs; Maritime; Military music; Murder; Outlaw songs; Religious; Supernatural; Tragic songs",http://www.folkways.si.edu/wolf-river-songs/american-folk/music/album/smithsonian,Germany,9.1514097819399,50.9382356458973
FW04011,Folkways Records,1956,The Big Drum Dance of Carriacou,Various Artists,Grenada,Carriacou,"Caribbean; World","Chac-chac (Rattle); Chakchak; Drum; Maraca; Vocals",,"Creole; World music",http://www.folkways.si.edu/the-big-drum-dance-of-carriacou/caribbean-world/music/album/smithsonian,Grenada,-61.6058293163068,12.1712095998646
FW04020,Folkways Records,1983,Hungarian Folk Music in the United States,Various Artists,"Hungary; United States",Hungarian-American,"American Folk; World","Accordion; Bass; Cimbalom; Clarinet; Drum; Drum machine; Electric piano; Piano; Saxophone; Viola; Violin; Violoncello",,"Czardas; Dance; Grief; Hallgatok (Music); Love songs; Marriage; Migration; Military music; Mining--Songs and music; Nostalgia; Opera; Patriotic songs; Protest songs; Weddings; Wit and humor",http://www.folkways.si.edu/hungarian-folk-music-in-the-united-states/american-folk-world/album/smithsonian,Hungary,18.9651577485968,47.8502905403165
FW04030,Folkways Records,1978,Music of Bhutan,Various Artists,Bhutan,,World,"Bamboo flute; Chee wang; Dram yen; Yang qin",,World music,http://www.folkways.si.edu/music-of-bhutan/world/album/smithsonian,Bhutan,89.2945410067618,27.8282712468189
FW04031,Folkways Records,1982,Traditional Music of the Garifuna of Belize,Various Artists,Belize,Black Carib Indians,"American Indian; World",Guitar,,World music,http://www.folkways.si.edu/traditional-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Belize,-88.3172844835732,18.3231357029213
FW04032,Folkways Records,1982,Dabuyabarugu: Inside the Temple - Sacred Music of the Garifuna of Belize,Various Artists,Belize,Black Carib Indians,"American Indian; World","Drum; Rattle (Musical instrument); Sisira",,"Call and response; Ceremonial; Dance; Death; Dugu; Healing; Invocation; Possession; Songs; Topical songs; Wit and humor; World music",http://www.folkways.si.edu/dabuyabarugu-inside-the-temple-sacred-music-of-the-garifuna-of-belize/american-indian-world/album/smithsonian,Belize,-88.6201395586028,17.3567688240055
FW04035,Folkways Records,1985,"Hungarian Folk Music from the Kis-Küküllő Region of Central Transylvania, Romania",Various Artists,"Hungary; Romania","Hungarian; Hungarian-Romanian; Romani",World,"Accordion; Bass; Drum; Viola; Violin",,"Czardas; Dance; Felolahos (Dance); Lassu (Dance); Livestock; Magyaros (Dance); Pontozo (Dance); Weddings; Work songs; World music; Zsiros (Dance)",http://www.folkways.si.edu/hungarian-folk-music-from-the-kis-kukullo-region-of-central-transylvania-romania/world/album/smithsonian,Hungary,19.5819132196036,47.9354528370978
FW04046,Folkways Records,1985,Laments of Lebanon - Funeral Laments of Lebanon,Various Artists,Lebanon,"Christian; Druze","Islamica; World",,Arabic,"Brass band music; Fraqiyyat; Funeral music; Grief; Hida (Music); Marches; Nadb; Qasidas; Skaba; Tahnin; World music",http://www.folkways.si.edu/laments-of-lebanon-funeral/islamica-world/music/album/smithsonian,Lebanon,35.7532724337517,34.035922625399
FW04104,Folkways Records,1975,Music of the Venezuelan Yekuana (Makiritare) Indians,Various Artists,Venezuela,Yecuana,"American Indian; World","Cane flute; Clarinet",,American Indian,http://www.folkways.si.edu/music-of-the-venezuelan-yekuana-makiritare-indians/american-indian-world/album/smithsonian,Venezuela,-68.0142723097883,8.03032355687631
SFW40020,Smithsonian Folkways Recordings,1991,"Mountain Music of Peru, Vol. 1",Various Artists,Peru,"Inca; Jajacalla; Peruvian; Q'ero; Quechua; Runa","American Indian; World","Bells; Bomba (Drum); Cana; Canchis sipas; Charango; Drum; Fiddle; Flute; Guitar; Harp; Mandolin; Panpipes; Pincullo; Pito; Pututu; Tambor (Drum); Vocals; Vocals, group","Quechua; Spanish","Rites and ceremonies; World music",http://www.folkways.si.edu/mountain-music-of-peru-vol-1/american-indian-world/album/smithsonian,Peru,-73.5686862262688,-10.3133895312696
SFW40114,Smithsonian Folkways Recordings,2000,Well May the World Go,Larry Long,United States,Anglo-American,American Folk,"Guitar; Vocals",English,Folksong revival,http://www.folkways.si.edu/larry-long/well-may-the-world-go/american-folk/music/album/smithsonian,United States,-101.530002203233,45.8466629639879
FW04175,Folkways Records,1963,The Demonstration Collection of E.M. von Hornbostel and the Berlin Phonogramm-Archiv,Various Artists,"Angola; Argentina; Australia; Belarus; Brazil; Cameroon; Canada; China; Congo (Democratic Republic); Equatorial Guinea; Federated States of Micronesia; Georgia (Country); Germany; Greenland; India; Indonesia; Israel; Japan; Mexico; Myanmar; Papua New Guinea; Russia; Rwanda; Samoa; Solomon Islands; Sri Lanka; Switzerland; Tanzania; Thailand; Togo; Tunisia; United States; USSR (former)","Alfure; American Indian; Australian Aborigine; Belarusian; Chuukese; Eskimo; Ewe; Georgian; Gurian; Hutu; Malay; Masai; Mingala-Aungbyun; Muslim; Ngangela; Nunu","Islamica; World","Di (Flute); Drum; Flute; Gong; Marimba; Modig; Nga; Pupuik baranak; Rattle (Musical instrument); Shamisen; Shawm; Sheng (Musical instrument); Tiktiri; Xylophone",Georgian,"American Indian; Animals; Birth; Calls; Celebrations; Chants; Choral music; Dance; Death; Drum music; Family History; Folksong revival; Funeral music; Games; Ghost dance; Grief; Healing; Holiday; Instrumental music; Livestock; Love songs; Maritime; Military music; Nkan; Occupational; Religious; Sacred vocal music; Songs; Supernatural; Talking drums; Theater; Women's dance; World music; Yodels",http://www.folkways.si.edu/the-demonstration-collection-of-em-von-hornbostel-and-the-berlin-phonogramm-archiv/islamica-world/music/album/smithsonian,Angola,21.1620211315404,-16.712188370047
FW04177,Folkways Records,1972,Pre-Columbian Instruments of Mexico,Jorje Daher,Mexico,,"American Indian; Music Instruction; World","Air drum; Drum; Flute; Kena; Mirliton; Ocarina; Peak (Musical instrument); Quena; Shells; Trumpet; Whistle",,"Demonstrations; Instrumental music; World music",http://www.folkways.si.edu/jorje-daher/pre-columbian-instruments-of-mexico/american-indian-music-instruction-world/album/smithsonian,Mexico,-87.5325912234225,19.3165516749829
FW04204,Folkways Records,1978,Bedouin Music of Southern Sinai,Various Artists,"Egypt; Israel",Bedouin,"Islamica; World","Bottles; Drum; Flute; Makruna; Simsimīyya; Spoons (Musical instrument)",,"Animals; Call and response; Complaint; Dance; Folksong revival; Hudjaini (Music); Instrumental music; Livestock; Love songs; Lyric poetry; Nostalgia; Occupational; Poetry; Protest songs; Songs; Supernatural; Wit and humor; Work songs; World music",http://www.folkways.si.edu/bedouin-music-of-southern-sinai/islamica-world/album/smithsonian,Egypt,25.4363808155162,25.8875551967527
FW04215,Folkways Records,1974,Drums of Thailand,Various Artists,Thailand,,World,"Glawng Jeen (Drum); Glawng Kaek (Drum); Glawng Malayu (Drum); Glawng Yao (Drum); Khlong; Perngmang Kok; Rammana lam tat (Drum); Rammana mahori (drum); Taphon mon; Taphon thai; Tone mahori (Drum)",,World music,http://www.folkways.si.edu/drums-of-thailand/world/music/album/smithsonian,Thailand,103.941330050653,16.0694305781789
FW04217,Folkways Records,1970,Music of the Tarascan Indians of Mexico: Music of Michoaca and Mestizo Country,Various Artists,Mexico,"American Indian; Mestizo","American Indian; World","Bass; Chirimia; Drum; Flute; Guitar; Harp; Reed organ; Violin; Violoncello",,"American Indian; Choral music; Christmas music; Dance; Folksong revival; Gusto (Music); Holiday; Instrumental music; Jarabe (Dance); Laments; Love songs; Nature; Opera; Songs; String ensembles; Valona; Waltz; World music",http://www.folkways.si.edu/music-of-the-tarascan-indians-of-mexico-of-michoaca-and-mestizo-country/american-indian-world/album/smithsonian,Mexico,-104.521907530886,24.4278316610924
FW04221,Folkways Records,1969,Music of the Idoma of Nigeria,Ediigwu,Nigeria,Idoma,World,"Ajigo; Ichicha (Rattle); Okanga",,"Dance; Funeral music; Songs; World music",http://www.folkways.si.edu/ediigwu/music-of-the-idoma-of-nigeria/world/album/smithsonian,Nigeria,4.87784966685966,13.083389122208
FW04480,Folkways Records,1956,Arabic and Druse Music,Various Artists,Lebanon,,"Islamica; World",,,World music,http://www.folkways.si.edu/arabic-and-druse-music/islamica-world/album/smithsonian,Lebanon,36.0411753007745,34.3103865087604
FW04237,Folkways Records,1981,Music of the Miskito Indians of Honduras and Nicaragua,Various Artists,"Honduras; Nicaragua",American Indian,"American Indian; Struggle &amp; Protest; World",,,"Courtship; Love songs; Political ballads and songs; Religious; Songs; Topical songs; World music",http://www.folkways.si.edu/music-of-the-miskito-indians-of-honduras-and-nicaragua/american-indian-struggle-protest-world/album/smithsonian,Honduras,-86.6981163653864,14.6204635630507
FW04238,Folkways Records,1982,Traditional African Ritual Music of Guyana,Various Artists,Guyana,,"African American Music; Sacred; World","Chac-chac (Rattle); Drum",,World music,http://www.folkways.si.edu/traditional-african-ritual-music-of-guyana/african-american-music-sacred-world/album/smithsonian,Guyana,-58.6912535627888,6.73466915751039
FW04239,Folkways Records,1982,"Music of the Coastal Amerindians of Guyana: The Arawak, Carib and Warrau",Various Artists,Guyana,American Indian,"American Indian; World","Banjo; Chac-chac (Rattle); Guitar; Harmonica; Rattle (Musical instrument); Violin",,"Animals; Candel; Celebrations; Dance; Drinking songs; Exorcism; Fellowship; Healing; Hunting; Instrumental music; Love songs; Lullabies; Mari-mari (Dance); Patriotic songs; Popular music; Songs; Sports; Tareng; World music",http://www.folkways.si.edu/music-of-the-coastal-amerindians-of-guyana-the-arawak-carib-and-warrau/american-indian-world/album/smithsonian,Guyana,-60.0910797346968,6.49294324432103
FW04270,Folkways Records,1982,Music from Western Samoa: from Conch Shell to Disco,Various Artists,Samoa,Samoan,World,"Brass band; Chorus; Fala; Guitar; Lali; Logo; Metal, struck; Pate (Samoa); Percussion, various; Pu; Selo; Vocals; Vocals, group",Samoan,World music,http://www.folkways.si.edu/music-from-western-samoa-from-conch-shell-to-disco/world/album/smithsonian,Samoa,-171.972225513718,-13.8806764726342
FW04281,Folkways Records,1976,"Music from the Dominican Republic: Vol. 1, The Island of Quisqueya",Various Artists,Dominican Republic,,"Caribbean; Latin; World","Accordion; Balcie; Guiro; Guitar; Maraca; Mbira; Pala-Menor; Sticks (Musical instrument); Tambura; Yabo; Yabo-Mayor",,World music,http://www.folkways.si.edu/music-from-the-dominican-republic-vol-1-the-island-of-quisqueya/caribbean-latin-world/album/smithsonian,Dominican Republic,-71.4313093220677,18.9300371964127
FW04282,Folkways Records,1976,"Music from the Dominican Republic: Vol. 2, The Island of Española",Various Artists,Dominican Republic,,"Caribbean; Latin; World","Guiro; Guitar; Maraca; Tambura; Yabo",,World music,http://www.folkways.si.edu/music-from-the-dominican-republic-vol-2-the-island-of-espanola/caribbean-latin-world/album/smithsonian,Dominican Republic,-69.9730806467874,19.0372348217441
FW04283,Folkways Records,1976,"Music from the Dominican Republic: Vol. 3, Cradle of the New World",Various Artists,Dominican Republic,,"Caribbean; Latin; World","Accordion; Alcahuete; Bass drum; Canoa; Fife; Guiro; Maraca; Tambura; Timpani; Triangle (Musical instrument); Yabo-Mayor",,World music,http://www.folkways.si.edu/music-from-the-dominican-republic-vol-3-cradle-of-the-new-world/caribbean-latin-world/album/smithsonian,Dominican Republic,-69.1280525436036,18.8188294205826
FW04284,Folkways Records,1978,"Music from the Dominican Republic: Vol. 4, Songs from the North",Various Artists,Dominican Republic,,"Caribbean; Latin; World","Guitar; Maraca",,World music,http://www.folkways.si.edu/music-from-the-dominican-republic-vol-4-songs-from-the-north/caribbean-latin-world/album/smithsonian,Dominican Republic,-70.060951335815,19.1866507606712
FW04285,Folkways Records,1983,"Afro-Dominican Music from San Cristobal, Dominican Republic",Various Artists,Dominican Republic,African Caribbean,"Caribbean; Latin; World",,,World music,http://www.folkways.si.edu/afro-dominican-music-from-san-cristobal-dominican-republic/caribbean-latin-world/album/smithsonian,Dominican Republic,-69.3414642378436,18.8722598301107
FW04301,Folkways Records,1976,"Music of the Sudan: The Role of Song and Dance in Dinka Society, Album One: War Songs and Hymns",Various Artists,Sudan,Dinka,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-the-sudan-the-role-of-song-and-dance-in-dinka-society-album-one-war-songs-and-hymns/islamica-world/album/smithsonian,Sudan,36.3743512608486,15.6750576374107
FW04302,Folkways Records,1976,"Music of the Sudan: The Role of Song and Dance in Dinka Society, Album Two: Women's Dance Songs",Various Artists,Sudan,Dinka,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-the-sudan-the-role-of-song-and-dance-in-dinka-society-album-two-womens-dance-songs/islamica-world/album/smithsonian,Sudan,29.1931978050605,5.94639070548969
FW03586,Folkways Records,1957,His Story - Big Bill Broonzy Interviewed by Studs Terkel,Big Bill Broonzy,,,"African American Spoken; American Folk; Blues; Oral History &amp; Biography",,,,http://www.folkways.si.edu/big-bill-broonzy/his-story-interviewed-by-studs-terkel/african-american-spoken-american-folk-blues-oral-history-biography/album/smithsonian,,,
FW04303,Folkways Records,1976,"Music of the Sudan: The Role of Song and Dance in Dinka Society, Album Three: Burial Hymns and War Songs",Various Artists,Sudan,Dinka,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-the-sudan-the-role-of-song-and-dance-in-dinka-society-album-three-burial-hymns-and-war-songs/islamica-world/album/smithsonian,Sudan,28.9955295758871,19.8502235045507
FW04310,Folkways Records,1980,Music from Mozambique,Various Artists,Mozambique,,World,"Buzzer; Drum",,World music,http://www.folkways.si.edu/music-from-mozambique/world/album/smithsonian,Mozambique,39.0683625188254,-15.1952909835787
FW04315,Folkways Records,1982,Instrumental Music of the Kalahari San,Various Artists,"Botswana; Namibia",Balanta,World,"Mbira; Pluriarc",,World music,http://www.folkways.si.edu/instrumental-music-of-the-kalahari-san/world/album/smithsonian,Botswana,25.5810666469806,-25.184349689119
FW04316,Folkways Records,1982,Healing Dance Music of the Kalahari San,Various Artists,Botswana,San,World,Drum,,World music,http://www.folkways.si.edu/healing-dance-music-of-the-kalahari-san/world/album/smithsonian,Botswana,24.8692152698311,-23.0892973933988
FW04318,Folkways Records,1982,"Music from Mozambique, Vol. 2: Chopi Timbila, Two Orchestral Performances",Various Artists,Mozambique,,World,,,World music,http://www.folkways.si.edu/music-from-mozambique-vol-2-chopi-timbila-two-orchestral-performances/world/album/smithsonian,Mozambique,33.0115845269862,-24.5405019787132
FW04319,Folkways Records,1983,"Music From Mozambique, Vol. 3",Various Artists,Mozambique,,World,"Chitende; Shivelan; Timbila; Zora (Drum)",,World music,http://www.folkways.si.edu/music-from-mozambique-vol-3/world/album/smithsonian,Mozambique,38.5967778030884,-13.4280292220904
FW04321,Folkways Records,1965,Music of the Jos Plateau and Other Regions of Nigeria,Various Artists,Nigeria,,World,"Dholi; Drum; Flute; Molo; Oboe; Reed harp; Whistle; Xylophone",,World music,http://www.folkways.si.edu/music-of-the-jos-plateau-and-other-regions-of-nigeria/world/album/smithsonian,Nigeria,4.6923759356401,10.2486228355095
FW04327,Folkways Records,1965,Cora Indian Festive Music,Various Artists,Mexico,Cora,"American Indian; World",,,American Indian,http://www.folkways.si.edu/cora-indian-festive-music/american-indian-world/album/smithsonian,Mexico,-101.579283986458,28.4094401657618
FW04338,Folkways Records,1966,Music of Mali,Various Artists,Mali,,"Islamica; World",Lute,,World music,http://www.folkways.si.edu/music-of-mali/islamica-world/album/smithsonian,Mali,-1.32705749992166,21.0597180931664
FW04357,Folkways Records,1976,Batak Music: Tobak Batak Music Played by the Tihang Gultom Group,"Tihang Gultom Group, Guru Tihang, leader",Indonesia,Batak,World,,,World music,http://www.folkways.si.edu/tihang-gultom-group-guru-tihang-leader/tobak-batak-music-played-by/world/album/smithsonian,Indonesia,137.360002128638,-4.09953192230527
FW04358,Folkways Records,1977,Sacred Guitar and Violin Music of the Modern Aztecs,Various Artists,Mexico,Aztec,"American Indian; Sacred; World",,,World music,http://www.folkways.si.edu/sacred-guitar-and-violin-music-of-the-modern-aztecs/american-indian-world/album/smithsonian,Mexico,-96.7421423430187,16.1423743681981
FW04371,Folkways Records,1983,"Traditional Music of Botswana, Africa: A Journey with Tape Recorder along Southern Botswana from Mochudi to Kang",Various Artists,Botswana,"San; Tswana",World,"Mbira; Mouth bow",,World music,http://www.folkways.si.edu/traditional-music-of-botswana-africa-a-journey-with-tape-recorder-along-southern-botswana-from-mochudi-to-kang/world/album/smithsonian,Botswana,20.2472718952292,-24.9166513724666
FW04377,Folkways Records,1975,"Modern Mayan: The Indian Music of Chiapas, Mexico - Vol. 1",Various Artists,Mexico,,"American Indian; World","Drum; Flute; Trumpet",,"American Indian; World music",http://www.folkways.si.edu/modern-mayan-the-indian-music-of-chiapas-mexico-vol-1/american-indian-world/album/smithsonian,Mexico,-101.425139647451,28.9264366612887
FW04378,Folkways Records,1976,Mexico South: Traditional Songs and Dances from the Isthmus of Tehuantepec,Various Artists,Mexico,,"Latin; World","Drum; Guitar; Reed-flute",,World music,http://www.folkways.si.edu/mexico-south-traditional-songs-and-dances-from-the-isthmus-of-tehuantepec/latin-world/music/album/smithsonian,Mexico,-99.1846192152105,18.1484039734804
FW04379,Folkways Records,1977,"Modern Maya: The Indian Music of Chiapas, Mexico - Vol. 2",Various Artists,Mexico,Maya,"American Indian; World","Bells; Drum; Flute; Guitar; Harp; Mandolin; Trumpet; Violin; Vocals",,American Indian,http://www.folkways.si.edu/modern-maya-the-indian-music-of-chiapas-mexico-vol-2/american-indian-world/album/smithsonian,Mexico,-101.598513283397,19.1490184914577
FW04406,Folkways Records,1950,Music of Indonesia,Various Artists,"Indonesia; Malaysia",,World,"Bonang (Gong); Drum; Gender (Musical instrument); Katapi; Rabāb; Saron; Suling (Musical instrument); Violin",,World music,http://www.folkways.si.edu/music-of-indonesia/world/album/smithsonian,Indonesia,133.084286571787,-2.63620009366365
FW04413,Folkways Records,1952,Indian Music of Mexico,Various Artists,Mexico,"Cora; Huichol; Seri; Tzotzil; Yaqui","American Indian; World",,,American Indian,http://www.folkways.si.edu/indian-music-of-mexico/a/american-indian-world/album/smithsonian,Mexico,-105.394007533403,25.9241441302647
FW04416,Folkways Records,1951,Music of the Russian Middle East,Various Artists,"Armenia; USSR (former)",,"Central Asia; Islamica; World",,,World music,http://www.folkways.si.edu/music-of-the-russian-middle-east/central-asia-islamica-world/album/smithsonian,Armenia,44.0077360695425,40.9623197654027
FW04435,Folkways Records,1952,The Black Caribs of Honduras,Various Artists,Honduras,Carib,World,"Drum; Guitar",,World music,http://www.folkways.si.edu/the-black-caribs-of-honduras/world/music/album/smithsonian,Honduras,-86.1594801449105,15.07148184541
FW04441,Folkways Records,1953,Drums of the Yoruba of Nigeria,Various Artists,Nigeria,Yoruba,World,"Bata (Drum); Dundun (Drum); Gangan (Drum); Hourglass drum; Igbin (Drum); Sekere",,World music,http://www.folkways.si.edu/drums-of-the-yoruba-of-nigeria/world/music/album/smithsonian,Nigeria,11.2069776090969,12.0931083528945
FW04454,Folkways Records,1955,Folk Music of Greece,Various Artists,"Cyprus; Greece",,World,Lyre,,World music,http://www.folkways.si.edu/folk-music-of-greece/world/album/smithsonian,Cyprus,33.853804406502,35.3565475246527
FW04459,Folkways Records,1961,Murut Music of North Borneo,Various Artists,Indonesia,Murut,"Islamica; World","Gong; Lansaran; Sumpotan",,World music,http://www.folkways.si.edu/murut-music-of-north-borneo/islamica-world/album/smithsonian,Indonesia,140.336449930797,-6.72669100230835
